time,all_num_芒果超媒,all_dic_score,芒果超媒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-24,810,348.00,0.54,579,579.00,231,-231.00
2022-05-25,623,279.00,0.55,451,451.00,172,-172.00
2022-05-26,548,228.00,0.39,388,388.00,160,-160.00
2022-05-27,508,170.00,0.36,339,339.00,169,-169.00
2022-05-28,223,37.00,0.26,130,130.00,93,-93.00
2022-05-29,121,39.00,0.57,80,80.00,41,-41.00
2022-05-30,260,92.00,0.55,176,176.00,84,-84.00
2022-05-31,180,58.00,0.30,119,119.00,61,-61.00
2022-06-01,175,61.00,0.38,118,118.00,57,-57.00
2022-06-02,164,26.00,0.25,95,95.00,69,-69.00
2022-06-03,104,-4.00,0.01,50,50.00,54,-54.00
2022-06-04,104,24.00,-0.09,64,64.00,40,-40.00
2022-06-05,54,20.00,0.21,37,37.00,17,-17.00
2022-06-06,87,33.00,0.46,60,60.00,27,-27.00
2022-06-07,68,26.00,0.40,47,47.00,21,-21.00
2022-06-08,85,19.00,0.33,52,52.00,33,-33.00
2022-06-09,68,12.00,0.40,40,40.00,28,-28.00
2022-06-10,87,27.00,0.54,57,57.00,30,-30.00
2022-06-11,18,4.00,0.29,11,11.00,7,-7.00
2022-06-12,9,9.00,1.00,9,9.00,0,0.00
2022-06-13,44,14.00,0.30,29,29.00,15,-15.00
2022-06-14,30,16.00,0.27,23,23.00,7,-7.00
2022-06-15,63,17.00,0.36,40,40.00,23,-23.00
2022-06-16,69,43.00,0.67,56,56.00,13,-13.00
2022-06-17,56,14.00,0.36,35,35.00,21,-21.00
2022-06-18,11,3.00,0.62,7,7.00,4,-4.00
2022-06-19,10,8.00,0.81,9,9.00,1,-1.00
2022-06-20,45,21.00,0.54,33,33.00,12,-12.00
2022-06-21,31,7.00,0.29,19,19.00,12,-12.00
2022-06-22,117,53.00,0.54,85,85.00,32,-32.00
2022-06-23,114,34.00,0.36,74,74.00,40,-40.00
2022-06-24,54,10.00,0.23,32,32.00,22,-22.00
2022-06-25,6,4.00,0.77,5,5.00,1,-1.00
2022-06-26,7,1.00,0.28,4,4.00,3,-3.00
2022-06-27,71,-1.00,0.13,35,35.00,36,-36.00
2022-06-28,90,0.00,0.27,45,45.00,45,-45.00
2022-06-29,103,45.00,0.59,74,74.00,29,-29.00
2022-06-30,100,26.00,0.60,63,63.00,37,-37.00
2022-07-05,1,1.00,1.00,1,1.00,0,0.00
