time,all_num_新和成,all_dic_score,新和成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-04-04,4,0.00,-0.03,2,2.00,2,-2.00
2022-04-05,4,2.00,0.17,3,3.00,1,-1.00
2022-04-06,10,4.00,0.22,7,7.00,3,-3.00
2022-04-07,23,3.00,0.25,13,13.00,10,-10.00
2022-04-08,23,15.00,0.62,19,19.00,4,-4.00
2022-04-09,3,3.00,1.00,3,3.00,0,0.00
2022-04-11,21,9.00,0.62,15,15.00,6,-6.00
2022-04-12,19,11.00,0.76,15,15.00,4,-4.00
2022-04-13,92,40.00,0.54,66,66.00,26,-26.00
2022-04-14,100,52.00,0.66,76,76.00,24,-24.00
2022-04-15,35,27.00,0.80,31,31.00,4,-4.00
2022-04-16,7,7.00,1.00,7,7.00,0,0.00
2022-04-17,9,9.00,1.00,9,9.00,0,0.00
2022-04-18,53,31.00,0.76,42,42.00,11,-11.00
2022-04-19,26,16.00,0.81,21,21.00,5,-5.00
2022-04-20,38,18.00,0.40,28,28.00,10,-10.00
2022-04-21,33,17.00,0.68,25,25.00,8,-8.00
2022-04-22,33,23.00,0.77,28,28.00,5,-5.00
2022-04-23,1,1.00,1.00,1,1.00,0,0.00
2022-04-24,9,5.00,0.70,7,7.00,2,-2.00
2022-04-25,42,30.00,0.86,36,36.00,6,-6.00
2022-04-26,67,31.00,0.61,49,49.00,18,-18.00
2022-04-27,82,36.00,0.58,59,59.00,23,-23.00
2022-04-28,57,37.00,0.79,47,47.00,10,-10.00
2022-04-29,47,21.00,0.59,34,34.00,13,-13.00
2022-04-30,2,2.00,1.00,2,2.00,0,0.00
2022-05-01,5,3.00,0.32,4,4.00,1,-1.00
2022-05-02,2,2.00,1.00,2,2.00,0,0.00
2022-05-03,2,2.00,1.00,2,2.00,0,0.00
2022-05-04,7,5.00,0.61,6,6.00,1,-1.00
2022-05-05,15,13.00,0.94,14,14.00,1,-1.00
2022-05-06,12,4.00,0.64,8,8.00,4,-4.00
2022-05-07,11,3.00,0.30,7,7.00,4,-4.00
2022-05-08,5,3.00,0.37,4,4.00,1,-1.00
2022-05-09,25,15.00,0.74,20,20.00,5,-5.00
2022-05-10,99,19.00,0.29,59,59.00,40,-40.00
2022-05-11,29,17.00,0.65,23,23.00,6,-6.00
2022-05-12,35,15.00,0.56,25,25.00,10,-10.00
2022-05-13,21,11.00,0.64,16,16.00,5,-5.00
2022-05-14,5,3.00,0.92,4,4.00,1,-1.00
2022-05-15,8,6.00,0.94,7,7.00,1,-1.00
2022-05-16,106,36.00,0.45,71,71.00,35,-35.00
2022-05-17,282,80.00,0.41,181,181.00,101,-101.00
2022-05-18,146,62.00,0.63,104,104.00,42,-42.00
2022-05-19,69,33.00,0.69,51,51.00,18,-18.00
2022-05-20,62,26.00,0.50,44,44.00,18,-18.00
2022-05-21,4,2.00,0.32,3,3.00,1,-1.00
2022-05-22,6,6.00,1.00,6,6.00,0,0.00
2022-05-23,40,20.00,0.66,30,30.00,10,-10.00
2022-05-24,54,16.00,0.51,35,35.00,19,-19.00
2022-05-25,55,35.00,0.58,45,45.00,10,-10.00
2022-05-26,60,24.00,0.51,42,42.00,18,-18.00
2022-05-27,89,33.00,0.53,61,61.00,28,-28.00
2022-05-28,6,6.00,1.00,6,6.00,0,0.00
2022-05-29,7,3.00,0.71,5,5.00,2,-2.00
2022-05-30,74,26.00,0.52,50,50.00,24,-24.00
2022-05-31,43,29.00,0.77,36,36.00,7,-7.00
2022-06-01,33,15.00,0.62,24,24.00,9,-9.00
2022-06-02,44,26.00,0.71,35,35.00,9,-9.00
2022-06-03,6,4.00,0.80,5,5.00,1,-1.00
2022-06-04,8,6.00,0.86,7,7.00,1,-1.00
2022-06-05,8,6.00,0.67,7,7.00,1,-1.00
2022-06-06,49,3.00,0.14,26,26.00,23,-23.00
2022-06-07,51,15.00,0.37,33,33.00,18,-18.00
2022-06-08,40,12.00,0.25,26,26.00,14,-14.00
2022-06-09,23,9.00,0.55,16,16.00,7,-7.00
2022-06-10,38,20.00,0.61,29,29.00,9,-9.00
2022-06-11,10,0.00,0.05,5,5.00,5,-5.00
2022-06-12,5,5.00,1.00,5,5.00,0,0.00
2022-06-13,25,11.00,0.70,18,18.00,7,-7.00
2022-06-14,40,28.00,0.82,34,34.00,6,-6.00
2022-06-15,49,27.00,0.43,38,38.00,11,-11.00
2022-06-16,30,14.00,0.62,22,22.00,8,-8.00
2022-06-17,25,15.00,0.71,20,20.00,5,-5.00
2022-06-18,6,6.00,1.00,6,6.00,0,0.00
2022-06-19,8,6.00,0.74,7,7.00,1,-1.00
2022-06-20,19,7.00,0.83,13,13.00,6,-6.00
2022-06-21,32,8.00,0.31,20,20.00,12,-12.00
2022-06-22,39,25.00,0.71,32,32.00,7,-7.00
2022-06-23,39,11.00,0.30,25,25.00,14,-14.00
2022-06-24,52,4.00,0.31,28,28.00,24,-24.00
2022-06-25,9,1.00,-0.21,5,5.00,4,-4.00
2022-06-26,9,7.00,0.86,8,8.00,1,-1.00
2022-06-27,17,7.00,0.46,12,12.00,5,-5.00
2022-06-28,50,16.00,0.44,33,33.00,17,-17.00
2022-06-29,26,14.00,0.69,20,20.00,6,-6.00
2022-06-30,66,8.00,0.55,37,37.00,29,-29.00
