time,no,review,score,read_volume
2022/6/23,52,"['601808', ':', '中海油', '服', 'H股', '公告', '-', '2021', '年度', '企业', '年度', '报告书']",0,722
2022/6/23,53,"['什么', '玩意儿']",0,417
2022/6/23,54,"['企业', '是', '好', '企业', '，', '就是', '董事会', '不负责任', '！', '庄家', '是', '傀儡']",-4,427
2022/6/23,55,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '又', '得', '三个', '月', '才能', '上去', '了', '，', '唉']",5,422
2022/6/23,56,"['中海油', '服', '06', '月', '22', '日', '被', '沪', '股通', '减持', '46.08', '万股']",-1,328
2022/6/23,57,"['中海油', '服', '：', '融资', '余额', '1.34', '亿元', '，', '创近', '一年', '新低', '（', '06', '-', '22', '）']",-1,367
2022/6/23,58,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '会', '砸', '个', '底部', '出来', '，', '有胆', '就', '换同', '条赛']",0,404
2022/6/22,59,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '这货', '和', '原油期货', '关系', '大', '吗', '？']",0,484
2022/6/22,60,"['原油', '大跌', '，', '估计', '要', '跌破', '13', '了']",-2,686
2022/6/22,61,"['垃圾', '玩意']",-1,394
2022/6/22,62,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '石油', '是', '一种', '资源', '，', '我们', '是', '大国', '，', '不']",0,304
2022/6/22,63,"['分红', '的', '钱', '在', '哪里', '呢']",0,596
2022/6/22,64,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '今天', '小', '试一下', '[', '坏', '笑', ']', '[', '坏', '笑', ']', '[', '坏', '笑', ']']",0,614
2022/6/22,65,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '股', '吧', '已经', '没', '几个', '人', '了', '，', '说明', '散户', '少']",0,657
2022/6/22,66,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '这是', '什么', '臭股', '，', '太臭', '了', '！']",-1,453
2022/6/22,67,"['14', '买进', '是不是', '高位', '套牢', '了', '[', '哭', ']', '[', '哭', ']']",-1,1062
2022/6/22,68,"['中海油', '服', '06', '月', '21', '日', '被', '沪', '股通', '减持', '170.79', '万股']",-1,365
2022/6/22,69,"['中海油', '服', '：', '融资', '余额', '1.34', '亿元', '，', '创近', '一年', '新低', '（', '06', '-', '21', '）']",-1,365
2022/6/21,70,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '石油', '的', '行情', '没', '这么', '快能', '结束', '的', '。']",0,678
2022/6/21,71,"['青海', '加快', '建设', '世界级', '盐湖', '产业基地', '，', '严重', '低估', '的', '中国', '盐湖']",3,705
2022/6/21,72,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '抓紧', '涨起来', '，', '别', '磨磨', '唧唧', '的']",0,411
2022/6/21,73,"['没有', '一点', '原则性', '，']",0,430
2022/6/21,74,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '为什么', '不涨', '？', '了', '3060', '怎', '实现', '？', '？', '风']",1,406
2022/6/21,75,"['今日', '涨停']",1,278
2022/6/21,76,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '圆形', '顶']",0,500
2022/6/20,77,"['$', 'XD', '中海油', '(', 'SH601808', ')', '$', '下周一', '瑟瑟', '发抖']",-6,955
2022/6/20,78,"['$', 'XD', '中海油', '(', 'SH601808', ')', '$', '原油', '成本', '大概', '40', '美金', '，', '按照', '50%', '利']",0,975
2022/6/20,79,"['开盘', '低开', '高走', '。']",-1,1102
2022/6/20,80,"['谁', '能', '告诉', '我', '，', '为什么', '跌', '？']",-1,1056
2022/6/20,81,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '要', '回到', '12', '了', '吗', '…', '？']",0,559
2022/6/20,82,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '今天上午', '忙', '着', '犹豫', '了', '一下', '被', '砸', '晕', '了']",-3,329
2022/6/20,83,"['中海油', '服', '06', '月', '13', '日获', '沪', '股通', '增持', '232.24', '万股']",1,633
2022/6/20,84,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '油价', '仍然', '处于', '高价位', '一百多', '，', '为什']",0,774
2022/6/20,85,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '这货', '应该', '有', '几个', '跌停']",-1,733
2022/6/20,86,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '都', '给', '老子', '跌停板', '埋伏', '！']",-1,341
2022/6/20,87,"['$', '中海油', '服', '(', 'SH601808', ')', '$', '这货', '不', '跌停', '不', '心甘', '。']",1,314
2022/6/20,88,"['中海油', '不会', '像', '当初', '的', '中', '石油', '吧']",0,413
