time,all_num_保利发展,all_dic_score,保利发展舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-07-26,351,47.00,0.50,199,199.00,152,-152.00
2021-07-27,388,84.00,0.23,236,236.00,152,-152.00
2021-07-28,153,39.00,0.32,96,96.00,57,-57.00
2021-07-29,312,44.00,0.29,178,178.00,134,-134.00
2021-07-30,160,40.00,0.51,100,100.00,60,-60.00
2021-07-31,36,16.00,0.52,26,26.00,10,-10.00
2021-08-01,20,8.00,0.41,14,14.00,6,-6.00
2021-08-02,112,38.00,0.50,75,75.00,37,-37.00
2021-08-03,85,21.00,0.42,53,53.00,32,-32.00
2021-08-04,185,39.00,0.48,112,112.00,73,-73.00
2021-08-05,352,134.00,0.46,243,243.00,109,-109.00
2021-08-06,209,75.00,0.75,142,142.00,67,-67.00
2021-08-07,29,17.00,0.70,23,23.00,6,-6.00
2021-08-08,26,10.00,0.51,18,18.00,8,-8.00
2021-08-09,281,115.00,0.59,198,198.00,83,-83.00
2021-08-10,138,44.00,0.43,91,91.00,47,-47.00
2021-08-11,326,104.00,0.48,215,215.00,111,-111.00
2021-08-12,140,70.00,0.76,105,105.00,35,-35.00
2021-08-13,144,56.00,0.71,100,100.00,44,-44.00
2021-08-14,32,18.00,0.73,25,25.00,7,-7.00
2021-08-15,35,15.00,0.46,25,25.00,10,-10.00
2021-08-16,138,64.00,0.62,101,101.00,37,-37.00
2021-08-17,196,74.00,0.45,135,135.00,61,-61.00
2021-08-18,155,55.00,0.57,105,105.00,50,-50.00
2021-08-19,120,38.00,0.47,79,79.00,41,-41.00
2021-08-20,90,42.00,0.55,66,66.00,24,-24.00
2021-08-21,9,5.00,0.67,7,7.00,2,-2.00
2021-08-22,22,4.00,0.60,13,13.00,9,-9.00
2021-08-23,120,70.00,0.62,95,95.00,25,-25.00
2021-08-24,117,61.00,0.59,89,89.00,28,-28.00
2021-08-25,125,55.00,0.61,90,90.00,35,-35.00
2021-08-26,77,19.00,0.53,48,48.00,29,-29.00
2021-08-27,96,32.00,0.43,64,64.00,32,-32.00
2021-08-28,12,6.00,0.38,9,9.00,3,-3.00
2021-08-29,24,22.00,0.98,23,23.00,1,-1.00
2021-08-30,111,27.00,0.44,69,69.00,42,-42.00
2021-08-31,71,25.00,0.53,48,48.00,23,-23.00
2021-09-01,107,61.00,0.65,84,84.00,23,-23.00
2021-09-02,114,62.00,0.63,88,88.00,26,-26.00
2021-09-03,70,52.00,0.84,61,61.00,9,-9.00
2021-09-04,11,9.00,0.94,10,10.00,1,-1.00
2021-09-05,9,7.00,0.75,8,8.00,1,-1.00
2021-09-06,54,30.00,0.77,42,42.00,12,-12.00
2021-09-07,88,32.00,0.47,60,60.00,28,-28.00
2021-09-08,70,38.00,0.78,54,54.00,16,-16.00
2021-09-09,67,27.00,0.56,47,47.00,20,-20.00
2021-09-10,61,29.00,0.57,45,45.00,16,-16.00
2021-09-11,12,8.00,0.82,10,10.00,2,-2.00
2021-09-12,16,12.00,0.73,14,14.00,2,-2.00
2021-09-13,122,54.00,0.44,88,88.00,34,-34.00
2021-09-14,115,53.00,0.56,84,84.00,31,-31.00
2021-09-15,113,35.00,0.41,74,74.00,39,-39.00
2021-09-16,79,17.00,0.42,48,48.00,31,-31.00
2021-09-17,115,53.00,0.47,84,84.00,31,-31.00
2021-09-18,14,4.00,0.88,9,9.00,5,-5.00
2021-09-19,12,10.00,0.92,11,11.00,1,-1.00
2021-09-20,33,13.00,0.37,23,23.00,10,-10.00
2021-09-21,36,10.00,0.28,23,23.00,13,-13.00
2021-09-22,179,47.00,0.45,113,113.00,66,-66.00
2021-09-23,83,39.00,0.56,61,61.00,22,-22.00
2021-09-24,70,26.00,0.56,48,48.00,22,-22.00
2021-09-25,13,7.00,0.90,10,10.00,3,-3.00
2021-09-26,18,12.00,0.58,15,15.00,3,-3.00
2021-09-27,68,12.00,0.34,40,40.00,28,-28.00
2021-09-28,151,57.00,0.49,104,104.00,47,-47.00
2021-09-29,82,36.00,0.63,59,59.00,23,-23.00
2021-09-30,97,49.00,0.67,73,73.00,24,-24.00
2021-10-01,15,1.00,0.40,8,8.00,7,-7.00
2021-10-02,2,2.00,1.00,2,2.00,0,0.00
