time,all_num_保利发展,all_dic_score,保利发展舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-04-26,44,26.00,0.63,35,35.00,9,-9.00
2022-04-27,97,21.00,0.31,59,59.00,38,-38.00
2022-04-28,77,27.00,0.45,52,52.00,25,-25.00
2022-04-29,85,27.00,0.46,56,56.00,29,-29.00
2022-04-30,21,13.00,0.71,17,17.00,4,-4.00
2022-05-01,2,2.00,1.00,2,2.00,0,0.00
2022-05-02,7,1.00,0.53,4,4.00,3,-3.00
2022-05-03,4,2.00,0.39,3,3.00,1,-1.00
2022-05-04,8,6.00,0.86,7,7.00,1,-1.00
2022-05-05,78,18.00,0.45,48,48.00,30,-30.00
2022-05-06,103,35.00,0.54,69,69.00,34,-34.00
2022-05-07,16,4.00,0.52,10,10.00,6,-6.00
2022-05-08,8,4.00,0.87,6,6.00,2,-2.00
2022-05-09,125,29.00,0.31,77,77.00,48,-48.00
2022-05-10,146,36.00,0.39,91,91.00,55,-55.00
2022-05-11,260,46.00,0.28,153,153.00,107,-107.00
2022-05-12,157,39.00,0.48,98,98.00,59,-59.00
2022-05-13,103,57.00,0.68,80,80.00,23,-23.00
2022-05-14,15,11.00,0.75,13,13.00,2,-2.00
2022-05-15,27,17.00,0.68,22,22.00,5,-5.00
2022-05-16,108,22.00,0.48,65,65.00,43,-43.00
2022-05-17,69,23.00,0.48,46,46.00,23,-23.00
2022-05-18,65,21.00,0.60,43,43.00,22,-22.00
2022-05-19,61,31.00,0.67,46,46.00,15,-15.00
2022-05-20,77,29.00,0.46,53,53.00,24,-24.00
2022-05-21,5,5.00,1.00,5,5.00,0,0.00
2022-05-22,9,7.00,0.75,8,8.00,1,-1.00
2022-05-23,192,36.00,0.34,114,114.00,78,-78.00
2022-05-24,94,42.00,0.52,68,68.00,26,-26.00
2022-05-25,87,27.00,0.59,57,57.00,30,-30.00
2022-05-26,72,16.00,0.40,44,44.00,28,-28.00
2022-05-27,82,16.00,0.17,49,49.00,33,-33.00
2022-05-28,10,2.00,0.21,6,6.00,4,-4.00
2022-05-29,5,3.00,0.49,4,4.00,1,-1.00
2022-05-30,111,33.00,0.42,72,72.00,39,-39.00
2022-05-31,217,43.00,0.27,130,130.00,87,-87.00
2022-06-01,66,32.00,0.63,49,49.00,17,-17.00
2022-06-02,169,41.00,0.37,105,105.00,64,-64.00
2022-06-03,18,8.00,0.66,13,13.00,5,-5.00
2022-06-04,19,5.00,0.40,12,12.00,7,-7.00
2022-06-05,20,4.00,0.55,12,12.00,8,-8.00
2022-06-06,211,67.00,0.42,139,139.00,72,-72.00
2022-06-07,95,21.00,0.37,58,58.00,37,-37.00
2022-06-08,149,51.00,0.41,100,100.00,49,-49.00
2022-06-09,97,29.00,0.41,63,63.00,34,-34.00
2022-06-10,94,38.00,0.46,66,66.00,28,-28.00
2022-06-11,7,1.00,0.54,4,4.00,3,-3.00
2022-06-12,11,3.00,0.47,7,7.00,4,-4.00
2022-06-13,143,43.00,0.51,93,93.00,50,-50.00
2022-06-14,79,15.00,0.32,47,47.00,32,-32.00
2022-06-15,126,54.00,0.49,90,90.00,36,-36.00
2022-06-16,89,35.00,0.50,62,62.00,27,-27.00
2022-06-17,82,8.00,0.27,45,45.00,37,-37.00
2022-06-18,19,13.00,0.76,16,16.00,3,-3.00
2022-06-19,15,15.00,1.00,15,15.00,0,0.00
2022-06-20,55,35.00,0.59,45,45.00,10,-10.00
2022-06-21,98,42.00,0.58,70,70.00,28,-28.00
2022-06-22,51,7.00,0.73,29,29.00,22,-22.00
2022-06-23,69,37.00,0.64,53,53.00,16,-16.00
2022-06-24,64,22.00,0.38,43,43.00,21,-21.00
2022-06-25,10,4.00,0.58,7,7.00,3,-3.00
2022-06-26,10,4.00,0.53,7,7.00,3,-3.00
2022-06-27,43,5.00,0.43,24,24.00,19,-19.00
2022-06-28,114,26.00,0.35,70,70.00,44,-44.00
2022-06-29,143,57.00,0.44,100,100.00,43,-43.00
2022-06-30,101,51.00,0.57,76,76.00,25,-25.00
