time,all_num_科沃斯,all_dic_score,科沃斯舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-05,4,2.00,0.76,3,3.00,1,-1.00
2022-06-06,19,3.00,0.26,11,11.00,8,-8.00
2022-06-07,19,11.00,0.56,15,15.00,4,-4.00
2022-06-08,21,-1.00,-0.06,10,10.00,11,-11.00
2022-06-09,14,4.00,0.27,9,9.00,5,-5.00
2022-06-10,18,6.00,0.48,12,12.00,6,-6.00
2022-06-11,5,-1.00,-0.46,2,2.00,3,-3.00
2022-06-12,2,2.00,1.00,2,2.00,0,0.00
2022-06-13,32,6.00,0.33,19,19.00,13,-13.00
2022-06-14,20,6.00,0.47,13,13.00,7,-7.00
2022-06-15,28,6.00,0.35,17,17.00,11,-11.00
2022-06-16,22,10.00,0.49,16,16.00,6,-6.00
2022-06-17,32,12.00,0.51,22,22.00,10,-10.00
2022-06-18,10,6.00,0.60,8,8.00,2,-2.00
2022-06-19,7,7.00,1.00,7,7.00,0,0.00
2022-06-20,13,7.00,0.51,10,10.00,3,-3.00
2022-06-21,38,10.00,0.26,24,24.00,14,-14.00
2022-06-22,84,2.00,0.19,43,43.00,41,-41.00
2022-06-23,60,16.00,0.30,38,38.00,22,-22.00
2022-06-24,56,22.00,0.50,39,39.00,17,-17.00
2022-06-25,7,5.00,0.87,6,6.00,1,-1.00
2022-06-26,4,0.00,0.05,2,2.00,2,-2.00
2022-06-27,25,11.00,0.81,18,18.00,7,-7.00
2022-06-28,42,4.00,0.11,23,23.00,19,-19.00
2022-06-29,12,4.00,0.53,8,8.00,4,-4.00
2022-06-30,36,12.00,0.43,24,24.00,12,-12.00
