time,no,review,score,read_volume
2022/6/28,50,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这个', '烂', '废物', '，', '两个', '跌停', '后', '就', '没有', '反弹']",-3,393
2022/6/28,51,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '现在', '我', '宣布', '：', '2022', '年度', '挖坑', '埋', '韭', '大会']",-1,368
2022/6/28,52,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '这个', '尿性', '，', '在', '里面', '是', '真', '难受', '。', '我', '以为']",0,434
2022/6/28,53,"['4.34', '收盘价', '，', '明天', '继续', '下', '挖']",0,370
2022/6/28,54,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '可以', '买', '了', '，', '开始', '升', '了', '，', '哈哈']",7,228
2022/6/28,55,"['粤', '传媒', '：', '融资', '净', '偿还', '503.06', '万元', '，', '融资', '余额', '1.83', '亿元', '（', '06']",-1,320
2022/6/28,56,"['叼', '毛']",0,204
2022/6/28,57,"['广州日报', '会', '不会', '退市', '？', '因为', '现在', '没人', '看', '报纸', '了']",1,770
2022/6/27,58,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '5', '日线', '站', '不', '上去', '，', '这个', '股', '就', '没人', '买', '了']",0,1131
2022/6/27,59,"['今天', '涨', '一分', '，', '明天', '又', '是', '跌', '一毛']",0,580
2022/6/27,60,"['请问', '贵', '公司', '有没有', '投资', '在线教育', '这块', '？']",0,1333
2022/6/27,61,"['等待', '大跌', '，', '不跌', '不买', '，', '怎么', '还', '不来']",-1,211
2022/6/27,62,"['今天', '4.34', '元', '全仓', '买进', '，', '下周', '来个', '涨停板', '走人']",0,379
2022/6/27,63,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '调整', '这么', '长时间', '，', '跌', '了', '这么', '多', '，', '不说']",-1,482
2022/6/27,64,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '烂西股']",0,191
2022/6/27,65,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '废物', '渣', '渣']",-1,178
2022/6/27,66,"['走成', '这样', '，', '后面', '都', '会', '下', '一个', '台阶', '。', '下', '杀', '过程', '累积', '会', '有', '20', '个']",-1,573
2022/6/27,67,"['$', '粤', '传媒', '(', 'SZ002181', ')', '$', '马上', '出', '利好', '呀', '，', '马上', '开庭', '了', '，', '赢', '了', '就']",1,424
2022/6/27,68,"['垃圾', '，', '错失', '大盘', '上涨', '的', '时间', '及', '空间', '，', '等', '你', '想要', '上涨', '时', '，', '大']",0,420
