time,all_num_上海银行,all_dic_score,上海银行舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-30,29,3.00,0.35,16,16.00,13,-13.00
2022-05-31,32,18.00,0.70,25,25.00,7,-7.00
2022-06-01,31,13.00,0.56,22,22.00,9,-9.00
2022-06-02,22,8.00,0.47,15,15.00,7,-7.00
2022-06-03,5,3.00,0.67,4,4.00,1,-1.00
2022-06-04,3,-1.00,-0.33,1,1.00,2,-2.00
2022-06-05,8,6.00,0.77,7,7.00,1,-1.00
2022-06-06,25,11.00,0.52,18,18.00,7,-7.00
2022-06-07,24,8.00,0.43,16,16.00,8,-8.00
2022-06-08,32,16.00,0.75,24,24.00,8,-8.00
2022-06-09,28,10.00,0.51,19,19.00,9,-9.00
2022-06-10,45,21.00,0.61,33,33.00,12,-12.00
2022-06-11,6,2.00,0.11,4,4.00,2,-2.00
2022-06-12,5,5.00,1.00,5,5.00,0,0.00
2022-06-13,30,12.00,0.59,21,21.00,9,-9.00
2022-06-14,16,8.00,0.46,12,12.00,4,-4.00
2022-06-15,46,14.00,0.36,30,30.00,16,-16.00
2022-06-16,24,16.00,0.79,20,20.00,4,-4.00
2022-06-17,35,9.00,0.43,22,22.00,13,-13.00
2022-06-18,6,2.00,0.11,4,4.00,2,-2.00
2022-06-19,5,5.00,1.00,5,5.00,0,0.00
2022-06-20,24,16.00,0.77,20,20.00,4,-4.00
2022-06-21,17,-1.00,-0.04,8,8.00,9,-9.00
2022-06-22,29,13.00,0.63,21,21.00,8,-8.00
2022-06-23,19,3.00,0.15,11,11.00,8,-8.00
2022-06-24,26,14.00,0.65,20,20.00,6,-6.00
2022-06-25,2,2.00,1.00,2,2.00,0,0.00
2022-06-26,7,3.00,0.65,5,5.00,2,-2.00
2022-06-27,28,12.00,0.61,20,20.00,8,-8.00
2022-06-28,33,13.00,0.39,23,23.00,10,-10.00
2022-06-29,29,11.00,0.64,20,20.00,9,-9.00
2022-06-30,31,7.00,0.52,19,19.00,12,-12.00
