time,all_num_中国化学,all_dic_score,中国化学舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021/9/14,106,20,0.23,63,63,43,-43
2021/9/15,116,32,0.38,74,74,42,-42
2021/9/16,150,46,0.32,98,98,52,-52
2021/9/17,139,39,0.31,89,89,50,-50
2021/9/18,14,10,0.86,12,12,2,-2
2021/9/19,15,7,0.59,11,11,4,-4
2021/9/20,12,4,0.36,8,8,4,-4
2021/9/21,17,15,0.92,16,16,1,-1
2021/9/22,95,37,0.53,66,66,29,-29
2021/9/23,96,26,0.48,61,61,35,-35
2021/9/24,125,65,0.59,95,95,30,-30
2021/9/25,21,15,0.77,18,18,3,-3
2021/9/26,19,13,0.77,16,16,3,-3
2021/9/27,114,38,0.24,76,76,38,-38
2021/9/28,64,36,0.69,50,50,14,-14
2021/9/29,112,44,0.49,78,78,34,-34
2021/9/30,42,20,0.5,31,31,11,-11
2021/10/1,7,3,0.48,5,5,2,-2
2021/10/2,6,4,0.71,5,5,1,-1
2021/10/3,1,1,1,1,1,0,0
2021/10/4,6,6,1,6,6,0,0
2021/10/5,10,4,0.37,7,7,3,-3
2021/10/6,1,-1,-1,0,0,1,-1
2021/10/7,5,5,1,5,5,0,0
2021/10/8,67,29,0.6,48,48,19,-19
2021/10/9,11,11,1,11,11,0,0
2021/10/10,13,3,0.3,8,8,5,-5
2021/10/11,73,5,-0.11,39,39,34,-34
2021/10/12,101,65,0.82,83,83,18,-18
2021/10/13,145,69,0.71,107,107,38,-38
2021/10/14,101,31,0.37,66,66,35,-35
2021/10/15,65,31,0.46,48,48,17,-17
2021/10/16,15,9,0.71,12,12,3,-3
2021/10/17,8,4,0.61,6,6,2,-2
2021/10/18,66,24,0.41,45,45,21,-21
2021/10/19,92,34,0.55,63,63,29,-29
2021/10/20,41,17,0.42,29,29,12,-12
2021/10/21,45,23,0.63,34,34,11,-11
2021/10/22,38,6,0.5,22,22,16,-16
2021/10/23,6,2,0.53,4,4,2,-2
2021/10/24,6,4,0.72,5,5,1,-1
2021/10/25,45,19,0.61,32,32,13,-13
2021/10/26,72,10,0.31,41,41,31,-31
2021/10/27,55,29,0.57,42,42,13,-13
2021/10/28,47,29,0.54,38,38,9,-9
2021/10/29,100,40,0.53,70,70,30,-30
2021/10/30,11,3,0.34,7,7,4,-4
2021/10/31,14,12,0.93,13,13,1,-1
2021/11/1,65,35,0.59,50,50,15,-15
2021/11/2,32,20,0.01,26,26,6,-6
2021/11/3,29,13,0.1,21,21,8,-8
2021/11/4,175,43,-0.11,109,109,66,-66
2021/11/5,79,35,0.44,57,57,22,-22
2021/11/6,18,14,0.88,16,16,2,-2
2021/11/7,20,10,0.48,15,15,5,-5
2021/11/8,51,27,0.56,39,39,12,-12
2021/11/9,41,11,0.5,26,26,15,-15
2021/11/10,50,20,0.46,35,35,15,-15
2021/11/11,87,29,0.67,58,58,29,-29
2021/11/12,17,5,0.67,11,11,6,-6
2021/11/13,1,1,1,1,1,0,0
2021/11/14,6,6,1,6,6,0,0
2021/11/15,55,27,0.69,41,41,14,-14
2021/11/16,55,27,0.46,41,41,14,-14
