time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-06-17,17,5.00,0.33,11,11.00,6,-6.00
2022-06-18,1,1.00,1.00,1,1.00,0,0.00
2022-06-19,4,2.00,0.08,3,3.00,1,-1.00
2022-06-20,15,5.00,-0.17,10,10.00,5,-5.00
2022-06-21,19,1.00,0.03,10,10.00,9,-9.00
2022-06-22,10,6.00,0.72,8,8.00,2,-2.00
2022-06-23,13,3.00,0.39,8,8.00,5,-5.00
2022-06-24,33,11.00,0.44,22,22.00,11,-11.00
2022-06-25,4,0.00,0.14,2,2.00,2,-2.00
2022-06-26,3,3.00,1.00,3,3.00,0,0.00
2022-06-27,18,12.00,0.44,15,15.00,3,-3.00
2022-06-28,20,8.00,0.30,14,14.00,6,-6.00
2022-06-29,15,5.00,0.44,10,10.00,5,-5.00
2022-06-30,19,5.00,0.42,12,12.00,7,-7.00
