time,all_num_康龙化成,all_dic_score,康龙化成舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-09-14,14,8.00,0.60,11,11.00,3,-3.00
2021-09-15,11,5.00,0.59,8,8.00,3,-3.00
2021-09-16,13,1.00,0.29,7,7.00,6,-6.00
2021-09-17,22,4.00,0.24,13,13.00,9,-9.00
2021-09-18,4,2.00,0.50,3,3.00,1,-1.00
2021-09-19,1,-1.00,-1.00,0,0.00,1,-1.00
2021-09-20,1,-1.00,-1.00,0,0.00,1,-1.00
2021-09-21,3,3.00,1.00,3,3.00,0,0.00
2021-09-22,14,-6.00,-0.38,4,4.00,10,-10.00
2021-09-23,23,-1.00,0.10,11,11.00,12,-12.00
2021-09-24,17,5.00,0.51,11,11.00,6,-6.00
2021-09-25,4,0.00,0.15,2,2.00,2,-2.00
2021-09-26,1,1.00,1.00,1,1.00,0,0.00
2021-09-27,13,1.00,0.24,7,7.00,6,-6.00
2021-09-28,11,5.00,0.66,8,8.00,3,-3.00
2021-09-29,12,6.00,0.68,9,9.00,3,-3.00
2021-09-30,20,-2.00,0.08,9,9.00,11,-11.00
2021-10-01,2,0.00,-0.13,1,1.00,1,-1.00
2021-10-02,1,1.00,1.00,1,1.00,0,0.00
2021-10-03,3,3.00,1.00,3,3.00,0,0.00
2021-10-05,1,1.00,1.00,1,1.00,0,0.00
2021-10-06,2,2.00,1.00,2,2.00,0,0.00
2021-10-07,3,1.00,0.22,2,2.00,1,-1.00
2021-10-08,13,7.00,0.71,10,10.00,3,-3.00
2021-10-09,2,2.00,1.00,2,2.00,0,0.00
2021-10-11,19,3.00,0.74,11,11.00,8,-8.00
2021-10-12,9,-1.00,0.74,4,4.00,5,-5.00
2021-10-13,10,-4.00,-0.45,3,3.00,7,-7.00
2021-10-14,8,6.00,0.87,7,7.00,1,-1.00
2021-10-15,10,-6.00,-0.58,2,2.00,8,-8.00
2021-10-17,1,1.00,1.00,1,1.00,0,0.00
2021-10-18,10,4.00,0.52,7,7.00,3,-3.00
2021-10-19,17,-1.00,-0.26,8,8.00,9,-9.00
2021-10-20,39,1.00,0.11,20,20.00,19,-19.00
2021-10-21,33,5.00,0.39,19,19.00,14,-14.00
2021-10-22,28,0.00,0.20,14,14.00,14,-14.00
2021-10-23,2,0.00,0.02,1,1.00,1,-1.00
2021-10-24,4,2.00,0.47,3,3.00,1,-1.00
2021-10-25,30,-2.00,0.27,14,14.00,16,-16.00
2021-10-26,16,-4.00,-0.33,6,6.00,10,-10.00
2021-10-27,68,12.00,0.33,40,40.00,28,-28.00
2021-10-28,45,27.00,0.77,36,36.00,9,-9.00
2021-10-29,17,13.00,0.86,15,15.00,2,-2.00
2021-10-30,1,1.00,1.00,1,1.00,0,0.00
2021-10-31,11,9.00,0.92,10,10.00,1,-1.00
2021-11-01,24,8.00,0.73,16,16.00,8,-8.00
2021-11-02,11,3.00,0.01,7,7.00,4,-4.00
2021-11-03,21,5.00,0.62,13,13.00,8,-8.00
2021-11-04,57,-11.00,0.41,23,23.00,34,-34.00
2021-11-05,24,-6.00,-0.09,9,9.00,15,-15.00
2021-11-06,2,2.00,1.00,2,2.00,0,0.00
2021-11-07,4,2.00,0.42,3,3.00,1,-1.00
2021-11-08,23,-3.00,-0.13,10,10.00,13,-13.00
