time,all_num_高德红外,all_dic_score,高德红外舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-08-21,10,0.00,0.30,5,5.00,5,-5.00
2021-08-22,7,5.00,0.87,6,6.00,1,-1.00
2021-08-23,52,22.00,0.46,37,37.00,15,-15.00
2021-08-24,128,46.00,0.45,87,87.00,41,-41.00
2021-08-25,149,1.00,-0.02,75,75.00,74,-74.00
2021-08-26,88,2.00,0.08,45,45.00,43,-43.00
2021-08-27,132,-12.00,-0.10,60,60.00,72,-72.00
2021-08-28,13,9.00,0.79,11,11.00,2,-2.00
2021-08-29,14,4.00,0.42,9,9.00,5,-5.00
2021-08-30,62,6.00,0.17,34,34.00,28,-28.00
2021-08-31,47,9.00,-0.12,28,28.00,19,-19.00
2021-09-01,80,-6.00,-0.29,37,37.00,43,-43.00
2021-09-02,68,14.00,0.52,41,41.00,27,-27.00
2021-09-03,75,17.00,0.30,46,46.00,29,-29.00
2021-09-04,8,2.00,0.71,5,5.00,3,-3.00
2021-09-05,12,8.00,0.15,10,10.00,2,-2.00
2021-09-06,63,-1.00,0.01,31,31.00,32,-32.00
2021-09-07,52,16.00,0.35,34,34.00,18,-18.00
2021-09-08,70,8.00,0.39,39,39.00,31,-31.00
2021-09-09,118,-20.00,-0.13,49,49.00,69,-69.00
2021-09-10,108,14.00,-0.18,61,61.00,47,-47.00
2021-09-11,12,4.00,0.35,8,8.00,4,-4.00
2021-09-12,8,6.00,0.66,7,7.00,1,-1.00
2021-09-13,176,18.00,0.18,97,97.00,79,-79.00
2021-09-14,104,4.00,0.37,54,54.00,50,-50.00
2021-09-15,74,-20.00,-0.28,27,27.00,47,-47.00
2021-09-16,85,23.00,0.27,54,54.00,31,-31.00
2021-09-17,66,16.00,0.35,41,41.00,25,-25.00
2021-09-18,5,1.00,-0.12,3,3.00,2,-2.00
2021-09-19,9,-3.00,-0.20,3,3.00,6,-6.00
2021-09-20,5,3.00,0.74,4,4.00,1,-1.00
2021-09-21,8,4.00,0.65,6,6.00,2,-2.00
2021-09-22,72,14.00,0.18,43,43.00,29,-29.00
2021-09-23,51,-1.00,0.01,25,25.00,26,-26.00
2021-09-24,46,20.00,0.49,33,33.00,13,-13.00
2021-09-25,6,6.00,1.00,6,6.00,0,0.00
2021-09-26,5,3.00,0.71,4,4.00,1,-1.00
2021-09-27,55,-9.00,0.44,23,23.00,32,-32.00
2021-09-28,138,0.00,0.15,69,69.00,69,-69.00
2021-09-29,97,25.00,0.50,61,61.00,36,-36.00
2021-09-30,79,5.00,0.10,42,42.00,37,-37.00
2021-10-01,2,-2.00,-1.00,0,0.00,2,-2.00
2021-10-02,1,1.00,1.00,1,1.00,0,0.00
2021-10-03,1,1.00,1.00,1,1.00,0,0.00
2021-10-04,3,-1.00,-0.58,1,1.00,2,-2.00
2021-10-05,3,1.00,0.17,2,2.00,1,-1.00
2021-10-06,4,-2.00,-0.93,1,1.00,3,-3.00
2021-10-07,7,1.00,0.74,4,4.00,3,-3.00
2021-10-08,39,1.00,-0.27,20,20.00,19,-19.00
2021-10-09,3,-1.00,-0.17,1,1.00,2,-2.00
2021-10-10,6,2.00,-0.23,4,4.00,2,-2.00
2021-10-11,46,10.00,0.37,28,28.00,18,-18.00
2021-10-12,41,7.00,-0.17,24,24.00,17,-17.00
2021-10-13,34,6.00,0.47,20,20.00,14,-14.00
2021-10-14,34,6.00,0.38,20,20.00,14,-14.00
2021-10-15,52,12.00,-0.55,32,32.00,20,-20.00
2021-10-16,6,2.00,0.65,4,4.00,2,-2.00
2021-10-17,7,3.00,0.45,5,5.00,2,-2.00
2021-10-18,29,13.00,0.57,21,21.00,8,-8.00
2021-10-19,65,33.00,0.55,49,49.00,16,-16.00
2021-10-20,113,-7.00,0.11,53,53.00,60,-60.00
