time,all_num_高德红外,all_dic_score,高德红外舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-21,8,4.00,0.74,6,6.00,2,-2.00
2022-05-22,7,1.00,0.64,4,4.00,3,-3.00
2022-05-23,33,7.00,0.45,20,20.00,13,-13.00
2022-05-24,38,4.00,0.23,21,21.00,17,-17.00
2022-05-25,71,-9.00,-0.03,31,31.00,40,-40.00
2022-05-26,76,16.00,0.42,46,46.00,30,-30.00
2022-05-27,59,-7.00,0.10,26,26.00,33,-33.00
2022-05-28,5,-1.00,0.00,2,2.00,3,-3.00
2022-05-29,4,2.00,0.69,3,3.00,1,-1.00
2022-05-30,43,-9.00,0.13,17,17.00,26,-26.00
2022-05-31,50,-14.00,-0.05,18,18.00,32,-32.00
2022-06-01,19,1.00,0.28,10,10.00,9,-9.00
2022-06-02,41,5.00,0.24,23,23.00,18,-18.00
2022-06-03,8,-2.00,0.14,3,3.00,5,-5.00
2022-06-04,2,0.00,-0.14,1,1.00,1,-1.00
2022-06-05,8,6.00,0.82,7,7.00,1,-1.00
2022-06-06,33,-3.00,0.22,15,15.00,18,-18.00
2022-06-07,42,-4.00,0.13,19,19.00,23,-23.00
2022-06-08,34,0.00,0.43,17,17.00,17,-17.00
2022-06-09,45,-7.00,-0.02,19,19.00,26,-26.00
2022-06-10,55,-1.00,-0.01,27,27.00,28,-28.00
2022-06-11,6,4.00,0.82,5,5.00,1,-1.00
2022-06-12,9,5.00,0.57,7,7.00,2,-2.00
2022-06-13,22,0.00,0.27,11,11.00,11,-11.00
2022-06-14,50,-6.00,0.12,22,22.00,28,-28.00
2022-06-15,50,-12.00,0.03,19,19.00,31,-31.00
2022-06-16,40,-4.00,0.19,18,18.00,22,-22.00
2022-06-17,36,0.00,0.23,18,18.00,18,-18.00
2022-06-18,2,0.00,-0.06,1,1.00,1,-1.00
2022-06-19,7,5.00,0.56,6,6.00,1,-1.00
2022-06-20,40,-10.00,0.17,15,15.00,25,-25.00
2022-06-21,44,-14.00,-0.11,15,15.00,29,-29.00
2022-06-22,42,-2.00,0.28,20,20.00,22,-22.00
2022-06-23,39,-3.00,-0.09,18,18.00,21,-21.00
2022-06-24,46,-2.00,0.04,22,22.00,24,-24.00
2022-06-25,13,3.00,0.27,8,8.00,5,-5.00
2022-06-26,12,2.00,0.04,7,7.00,5,-5.00
2022-06-27,64,2.00,0.14,33,33.00,31,-31.00
2022-06-28,65,5.00,0.50,35,35.00,30,-30.00
2022-06-29,94,-4.00,0.28,45,45.00,49,-49.00
2022-06-30,90,-8.00,0.08,41,41.00,49,-49.00
