time,all_num_迈瑞医疗,all_dic_score,迈瑞医疗舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-03-29,22,10.00,0.55,16,16.00,6,-6.00
2021-03-30,35,13.00,0.54,24,24.00,11,-11.00
2021-03-31,18,6.00,0.31,12,12.00,6,-6.00
2021-04-01,26,10.00,0.55,18,18.00,8,-8.00
2021-04-02,21,5.00,0.28,13,13.00,8,-8.00
2021-04-03,6,6.00,1.00,6,6.00,0,0.00
2021-04-04,2,-2.00,-1.00,0,0.00,2,-2.00
2021-04-05,3,3.00,1.00,3,3.00,0,0.00
2021-04-06,24,10.00,0.88,17,17.00,7,-7.00
2021-04-07,14,2.00,0.62,8,8.00,6,-6.00
2021-04-08,23,11.00,0.60,17,17.00,6,-6.00
2021-04-09,40,10.00,-0.44,25,25.00,15,-15.00
2021-04-10,9,7.00,0.89,8,8.00,1,-1.00
2021-04-11,8,6.00,0.83,7,7.00,1,-1.00
2021-04-12,26,10.00,0.44,18,18.00,8,-8.00
2021-04-13,19,15.00,0.88,17,17.00,2,-2.00
2021-04-14,39,15.00,0.40,27,27.00,12,-12.00
2021-04-15,45,23.00,0.69,34,34.00,11,-11.00
2021-04-16,19,15.00,0.84,17,17.00,2,-2.00
2021-04-17,5,5.00,1.00,5,5.00,0,0.00
2021-04-18,8,6.00,0.86,7,7.00,1,-1.00
2021-04-19,30,16.00,0.84,23,23.00,7,-7.00
2021-04-20,27,11.00,0.41,19,19.00,8,-8.00
2021-04-21,17,7.00,0.87,12,12.00,5,-5.00
2021-04-22,47,11.00,-0.18,29,29.00,18,-18.00
2021-04-23,65,17.00,0.36,41,41.00,24,-24.00
2021-04-24,17,1.00,0.26,9,9.00,8,-8.00
2021-04-25,16,8.00,0.47,12,12.00,4,-4.00
2021-04-26,38,18.00,0.67,28,28.00,10,-10.00
2021-04-27,32,10.00,0.20,21,21.00,11,-11.00
2021-04-28,135,85.00,0.66,110,110.00,25,-25.00
2021-04-29,55,35.00,0.90,45,45.00,10,-10.00
2021-04-30,50,26.00,0.74,38,38.00,12,-12.00
2021-05-01,5,3.00,0.89,4,4.00,1,-1.00
2021-05-02,13,5.00,0.71,9,9.00,4,-4.00
2021-05-03,4,4.00,1.00,4,4.00,0,0.00
2021-05-04,11,9.00,0.92,10,10.00,1,-1.00
2021-05-05,7,3.00,0.81,5,5.00,2,-2.00
2021-05-06,38,20.00,0.89,29,29.00,9,-9.00
2021-05-07,42,0.00,0.26,21,21.00,21,-21.00
2021-05-08,13,-5.00,0.27,4,4.00,9,-9.00
2021-05-09,5,5.00,1.00,5,5.00,0,0.00
2021-05-10,18,4.00,0.32,11,11.00,7,-7.00
2021-05-11,20,10.00,0.40,15,15.00,5,-5.00
2021-05-12,20,12.00,0.73,16,16.00,4,-4.00
2021-05-13,24,12.00,0.67,18,18.00,6,-6.00
2021-05-14,21,5.00,0.53,13,13.00,8,-8.00
2021-05-15,8,2.00,0.42,5,5.00,3,-3.00
2021-05-16,27,9.00,0.64,18,18.00,9,-9.00
2021-05-17,74,42.00,0.73,58,58.00,16,-16.00
2021-05-18,27,13.00,0.83,20,20.00,7,-7.00
2021-05-19,36,22.00,0.84,29,29.00,7,-7.00
2021-05-20,27,17.00,0.01,22,22.00,5,-5.00
2021-05-21,23,17.00,0.87,20,20.00,3,-3.00
2021-05-22,34,24.00,0.80,29,29.00,5,-5.00
2021-05-23,34,22.00,0.83,28,28.00,6,-6.00
2021-05-24,36,16.00,0.45,26,26.00,10,-10.00
2021-05-25,35,19.00,0.86,27,27.00,8,-8.00
2021-05-26,19,9.00,0.61,14,14.00,5,-5.00
2021-05-27,30,10.00,0.60,20,20.00,10,-10.00
2021-05-28,19,7.00,0.65,13,13.00,6,-6.00
2021-05-29,3,1.00,0.54,2,2.00,1,-1.00
2021-05-30,11,3.00,0.54,7,7.00,4,-4.00
2021-05-31,27,13.00,0.60,20,20.00,7,-7.00
2021-06-01,27,7.00,0.16,17,17.00,10,-10.00
2021-06-02,28,12.00,0.84,20,20.00,8,-8.00
2021-06-03,22,6.00,0.41,14,14.00,8,-8.00
2021-06-04,15,7.00,0.58,11,11.00,4,-4.00
2021-06-05,7,5.00,0.87,6,6.00,1,-1.00
2021-06-06,9,7.00,0.92,8,8.00,1,-1.00
2021-06-07,16,6.00,0.80,11,11.00,5,-5.00
2021-06-08,22,4.00,0.37,13,13.00,9,-9.00
2021-06-09,23,9.00,0.39,16,16.00,7,-7.00
2021-06-10,28,14.00,0.60,21,21.00,7,-7.00
2021-06-11,51,3.00,0.07,27,27.00,24,-24.00
2021-06-12,4,2.00,0.50,3,3.00,1,-1.00
2021-06-13,10,0.00,0.13,5,5.00,5,-5.00
2021-06-14,12,6.00,0.82,9,9.00,3,-3.00
2021-06-15,27,11.00,0.47,19,19.00,8,-8.00
2021-06-16,58,10.00,0.57,34,34.00,24,-24.00
2021-06-17,22,6.00,0.26,14,14.00,8,-8.00
