time,all_num_迈为股份,all_dic_score,迈为股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2021-08-23,36,6.00,0.07,21,21.00,15,-15.00
2021-08-24,32,6.00,0.15,19,19.00,13,-13.00
2021-08-25,28,2.00,0.40,15,15.00,13,-13.00
2021-08-26,30,8.00,0.71,19,19.00,11,-11.00
2021-08-27,34,-4.00,0.35,15,15.00,19,-19.00
2021-08-28,5,1.00,0.12,3,3.00,2,-2.00
2021-08-29,5,5.00,1.00,5,5.00,0,0.00
2021-08-30,39,9.00,-0.44,24,24.00,15,-15.00
2021-08-31,21,-5.00,-0.21,8,8.00,13,-13.00
2021-09-01,63,-5.00,0.02,29,29.00,34,-34.00
2021-09-02,36,-4.00,-0.16,16,16.00,20,-20.00
2021-09-03,40,2.00,0.02,21,21.00,19,-19.00
2021-09-04,7,3.00,0.64,5,5.00,2,-2.00
2021-09-05,2,2.00,1.00,2,2.00,0,0.00
2021-09-06,28,4.00,0.19,16,16.00,12,-12.00
2021-09-07,26,2.00,0.14,14,14.00,12,-12.00
2021-09-08,48,-6.00,-0.06,21,21.00,27,-27.00
2021-09-09,36,-6.00,-0.19,15,15.00,21,-21.00
2021-09-10,39,1.00,0.17,20,20.00,19,-19.00
2021-09-11,3,3.00,1.00,3,3.00,0,0.00
2021-09-12,5,3.00,0.92,4,4.00,1,-1.00
2021-09-13,29,1.00,-0.01,15,15.00,14,-14.00
2021-09-14,22,6.00,0.19,14,14.00,8,-8.00
2021-09-15,34,-2.00,0.01,16,16.00,18,-18.00
2021-09-16,34,-8.00,-0.41,13,13.00,21,-21.00
2021-09-17,44,2.00,0.09,23,23.00,21,-21.00
2021-09-18,5,-3.00,-0.79,1,1.00,4,-4.00
2021-09-19,4,4.00,1.00,4,4.00,0,0.00
2021-09-20,5,-3.00,-0.64,1,1.00,4,-4.00
2021-09-21,7,3.00,0.49,5,5.00,2,-2.00
2021-09-22,26,4.00,0.22,15,15.00,11,-11.00
2021-09-23,20,-4.00,0.48,8,8.00,12,-12.00
2021-09-24,17,-1.00,-0.06,8,8.00,9,-9.00
2021-09-25,3,-1.00,0.08,1,1.00,2,-2.00
2021-09-26,1,-1.00,-1.00,0,0.00,1,-1.00
2021-09-27,38,14.00,0.58,26,26.00,12,-12.00
2021-09-28,37,-1.00,0.02,18,18.00,19,-19.00
2021-09-29,12,0.00,0.08,6,6.00,6,-6.00
