time,all_num_迈为股份,all_dic_score,迈为股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-23,28,14.00,0.52,21,21.00,7,-7.00
2022-05-24,11,7.00,0.68,9,9.00,2,-2.00
2022-05-25,16,8.00,0.70,12,12.00,4,-4.00
2022-05-26,16,6.00,0.53,11,11.00,5,-5.00
2022-05-27,15,1.00,0.15,8,8.00,7,-7.00
2022-05-28,3,3.00,1.00,3,3.00,0,0.00
2022-05-29,4,2.00,0.56,3,3.00,1,-1.00
2022-05-30,14,4.00,0.22,9,9.00,5,-5.00
2022-05-31,16,10.00,0.56,13,13.00,3,-3.00
2022-06-01,18,6.00,0.45,12,12.00,6,-6.00
2022-06-02,34,16.00,0.63,25,25.00,9,-9.00
2022-06-03,3,1.00,-0.10,2,2.00,1,-1.00
2022-06-04,1,-1.00,-1.00,0,0.00,1,-1.00
2022-06-05,8,8.00,1.00,8,8.00,0,0.00
2022-06-06,32,10.00,0.44,21,21.00,11,-11.00
2022-06-07,36,14.00,0.26,25,25.00,11,-11.00
2022-06-08,20,2.00,0.13,11,11.00,9,-9.00
2022-06-09,19,5.00,0.31,12,12.00,7,-7.00
2022-06-10,40,12.00,0.23,26,26.00,14,-14.00
2022-06-11,6,4.00,0.74,5,5.00,1,-1.00
2022-06-12,4,2.00,0.49,3,3.00,1,-1.00
2022-06-13,25,1.00,0.07,13,13.00,12,-12.00
2022-06-14,23,15.00,0.73,19,19.00,4,-4.00
2022-06-15,32,26.00,0.86,29,29.00,3,-3.00
2022-06-16,14,8.00,0.62,11,11.00,3,-3.00
2022-06-17,52,28.00,0.63,40,40.00,12,-12.00
2022-06-18,17,13.00,0.81,15,15.00,2,-2.00
2022-06-19,4,2.00,0.73,3,3.00,1,-1.00
2022-06-20,13,1.00,0.15,7,7.00,6,-6.00
2022-06-21,23,11.00,0.70,17,17.00,6,-6.00
2022-06-22,29,17.00,0.72,23,23.00,6,-6.00
2022-06-23,28,24.00,0.72,26,26.00,2,-2.00
2022-06-24,51,19.00,0.54,35,35.00,16,-16.00
2022-06-25,7,3.00,0.58,5,5.00,2,-2.00
2022-06-26,6,6.00,1.00,6,6.00,0,0.00
2022-06-27,45,13.00,0.20,29,29.00,16,-16.00
2022-06-28,22,6.00,0.28,14,14.00,8,-8.00
2022-06-29,26,26.00,1.00,26,26.00,0,0.00
2022-06-30,16,8.00,0.58,12,12.00,4,-4.00
