time,all_num_东方雨虹,all_dic_score,东方雨虹舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-05-27,36,10.00,0.36,23,23.00,13,-13.00
2022-05-28,4,0.00,-0.14,2,2.00,2,-2.00
2022-05-29,4,4.00,1.00,4,4.00,0,0.00
2022-05-30,36,18.00,0.60,27,27.00,9,-9.00
2022-05-31,41,9.00,0.26,25,25.00,16,-16.00
2022-06-01,56,38.00,0.67,47,47.00,9,-9.00
2022-06-02,21,5.00,0.10,13,13.00,8,-8.00
2022-06-03,2,2.00,1.00,2,2.00,0,0.00
2022-06-04,3,1.00,0.77,2,2.00,1,-1.00
2022-06-05,4,2.00,0.73,3,3.00,1,-1.00
2022-06-06,105,33.00,0.50,69,69.00,36,-36.00
2022-06-07,53,15.00,0.29,34,34.00,19,-19.00
2022-06-08,61,21.00,0.46,41,41.00,20,-20.00
2022-06-09,51,3.00,0.24,27,27.00,24,-24.00
2022-06-10,29,9.00,0.40,19,19.00,10,-10.00
2022-06-11,5,5.00,1.00,5,5.00,0,0.00
2022-06-12,3,3.00,1.00,3,3.00,0,0.00
2022-06-13,75,7.00,0.13,41,41.00,34,-34.00
2022-06-14,55,7.00,0.22,31,31.00,24,-24.00
2022-06-15,50,16.00,0.19,33,33.00,17,-17.00
2022-06-16,60,12.00,0.33,36,36.00,24,-24.00
2022-06-17,51,17.00,0.47,34,34.00,17,-17.00
2022-06-18,6,2.00,0.64,4,4.00,2,-2.00
2022-06-19,4,0.00,-0.54,2,2.00,2,-2.00
2022-06-20,74,34.00,0.35,54,54.00,20,-20.00
2022-06-21,29,11.00,0.38,20,20.00,9,-9.00
2022-06-22,72,14.00,0.35,43,43.00,29,-29.00
2022-06-23,31,5.00,0.42,18,18.00,13,-13.00
2022-06-24,33,11.00,0.61,22,22.00,11,-11.00
2022-06-25,9,1.00,0.05,5,5.00,4,-4.00
2022-06-26,3,3.00,1.00,3,3.00,0,0.00
2022-06-27,28,-2.00,0.16,13,13.00,15,-15.00
2022-06-28,19,5.00,0.81,12,12.00,7,-7.00
2022-06-29,46,24.00,0.75,35,35.00,11,-11.00
2022-06-30,50,18.00,-0.08,34,34.00,16,-16.00
