time,no,review,score,read_volume
2022/6/21,52,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '你', '会', '不会', '一辈子', '起不来']",0,548
2022/6/21,53,['洗出'],0,518
2022/6/21,54,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '畜庄']",0,504
2022/6/21,55,"['维科', '技术']",0,706
2022/6/21,56,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '惊弓之鸟', '，', '哈哈']",0,389
2022/6/20,57,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '明天', '低开', '高走']",-1,526
2022/6/20,58,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '一分钱', '玩', '了', '一天', '[', '好', '困惑', ']']",0,335
2022/6/20,59,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '狗庄', '，', '看看', '你', '爹', '德赛', '电池']",0,232
2022/6/20,60,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '6.1', '我', '已', '卖出', '，', '等待', '5.9', '买入']",0,527
2022/6/20,61,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '短线', '卖出', '，', '中长线', '持有']",0,467
2022/6/20,62,"['维科', '技术', '：', '拟', '授予', '270', '名', '激励', '对象', '5200', '万份', '股票', '期权']",0,1429
2022/6/20,63,"['股市', '歧途', '去', '哪里', '？']",-5,349
2022/6/20,64,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '第二个', '短线', '卖出去', '的', '机会']",1,357
2022/6/20,65,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这个', '小东西', '去年', '和', '今年', '一季度', '的', '总']",0,415
2022/6/20,66,"['狗庄', '去', '见上帝', '吧']",0,248
2022/6/20,67,"['维科', '技术', '6', '月', '20', '日', '盘中', '涨幅', '达', '5%']",1,289
2022/6/20,68,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这个', '垃圾']",-1,659
2022/6/20,69,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '短线', '卖出']",0,407
2022/6/20,70,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '扶不上', '墙']",0,345
2022/6/20,71,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '又', '套', '了', '一波', '人', '，', '狗庄', '厉害']",0,194
2022/6/20,72,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '又', '套', '了', '一波', '人', '，', '狗庄', '厉害']",0,183
2022/6/20,73,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '狗庄', '天天', '压着', '，', '每次', '都', '是', '板块', '垫底']",-1,170
2022/6/20,74,['烂泥'],0,147
2022/6/20,75,"['维科', '技术', '6', '月', '20', '日', '快速', '上涨']",6,271
2022/6/20,76,"['今天', '想', '大涨', '啊', '！']",1,320
2022/6/19,77,"['员工', '持股', '5.64', '所以', '股价', '拉', '长线', '必', '翻倍']",1,888
2022/6/19,78,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '我', '满仓', '去', '拉', '了', '，', '尽力', '了']",0,1001
2022/6/19,79,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '我', '现在', '没钱', '了', '，', '如果', '有钱', '我', '就', '补仓']",1,878
2022/6/18,80,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '沪', '指', '站上', '3330', '牛市', '来', '了', '而且', '电池板']",1,422
2022/6/18,81,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '第一次', '站上', '六十日', '均线', '短期', '冲高回']",0,700
2022/6/18,82,"['利好', '[', '鼓掌', ']']",1,521
2022/6/17,83,"['今天', '逆势', '走', '，', '早说', '了', '徐翔', '概念股']",0,649
2022/6/17,84,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '大盘', '涨', '你', '也', '跌', '，', '大盘', '跌', '你', '也', '跌', '，', '大']",-2,433
2022/6/17,85,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这个', '股权', '激励', '计划', '还', '没', '落地', '公司', '今']",0,368
2022/6/17,86,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '今天', '站上', '六十日', '均线', '但', '冲高回落', '这']",-1,488
2022/6/17,87,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '等', '吧', '，', '把', '均线', '走', '好', '最起码', '要', '5', '个', '月']",0,381
2022/6/17,88,"['维科', '技术', '6', '月', '17', '日', '快速', '上涨']",6,236
2022/6/17,89,"['希望', '今天', '能', '跟上', '大', '部队', '，', '涨起来', '，', '好长时间', '没', '大涨', '过', '了', '！']",-1,349
2022/6/16,90,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '什么玩意', '天天', '织布', '下来', '吧', '明天', '低开']",-1,357
2022/6/16,91,"['徐翔', '和', '公司老总', '是', '兄弟', '，', '随时', '要', '爆发', '的', '。']",-7,638
2022/6/16,92,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '呢', '妈', '！', '不', '真气']",0,328
2022/6/16,93,"['$', '维科', '技术', '(', 'SH600152', ')', '$']",0,319
2022/6/16,94,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这是', '一个', '什么', '怪物', '股票', '？']",-1,343
2022/6/16,95,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '有', '本事', '使劲', '跌跌', '了', '我', '就', '买']",1,564
2022/6/16,96,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这票', '跟', '跌', '不', '跟涨', '，', '感觉', '他', '把', '大盘', '带']",-2,350
2022/6/15,97,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '惊喜', '即将', '到来']",7,535
2022/6/15,98,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '真']",0,327
2022/6/15,99,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '热烈庆祝', '新力', '金融', '涨停']",2,284
2022/6/15,100,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '大盘', '涨', '不', '跟', '，', '跌', '的', '时候', '首当其冲', '，']",-5,441
2022/6/15,101,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '广东', '宏图', '新高', '了', '，', '一查', '维科', '6', '百多']",8,575
2022/6/15,102,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '大盘', '都', '涨回去', '了', '，', '你', '还', '跌', '百分之三']",-0.5,313
2022/6/15,103,"['太', '失望', '了', '，', '大盘', '涨', '那么', '多', '，', '你', '竟然', '还', '跌', '！', '！', '!']",-2.5,512
2022/6/15,104,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '论', '装逼', '谁', '都', '没有', '维科', '的', '狗', '庄行', '，', '你']",-1,438
2022/6/15,105,"['割', '的', '人', '太少', '，', '谁', '会', '拉上去', '，', '下来', '吧', '，', '只有', '跌下来', '才', '是', '硬', '道']",0,315
2022/6/15,106,"['大盘', '涨', '，', '何', '乌拉', '不涨', '，', '天天', '如此', '[', '好', '困惑', ']']",1,314
2022/6/15,107,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '这个', '垃圾']",-1,315
2022/6/14,108,"['回复', '@', '六亿', '居士', ' ', ':', '六亿', '老师', '没给加', '代码', '，', '小招', '这里', '补上', '$', '中']",0,903
2022/6/15,109,"['600152', ':', '浙江', '和义', '观达', '律师', '事务所', '关于', '维科', '技术', '2022', '年股']",0,825
2022/6/14,110,"['补仓', '了', '，', '不', '知道', '补', '的', '对', '不对', '，', '希望', '涨', '上来', '吧', '。']",4,621
2022/6/14,111,"['五块', '附近', '，', '等', '第二只', '脚', '落地', '吧']",0,625
2022/6/14,112,"['凭借', '七大', '优势', '，', '银盛', '支付', '小', 'Y', '精灵', '赋能', '零售商', '户', '智慧', '经营']",15,419
2022/6/14,113,"['银盛', '支付', '以', '强劲', '实力', '和', '亮眼', '成绩', '，', '再获', '行业', '奖项', '认可', '作为']",6,386
2022/6/14,114,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '来', '600318', '和', '600938', '，', '定有', '厚报']",0,255
2022/6/14,115,"['600152', ':', '维科', '技术', '第十届', '监事会', '第十三次', '会议', '决议', '公告']",0,574
2022/6/14,116,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '冲高回落', '主力', '没信心']",5,249
2022/6/13,117,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '来', '，', '继续', '百度', '股权', '激励', '之后']",0,369
2022/6/13,118,"['不死不活', '的', '多少', '天', '了', '，', '浪费', '行情']",-12,308
2022/6/13,119,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '对于', '股权', '激励', '后', '的', '股价', '多余', '话', '不', '说']",-3,359
2022/6/13,120,"['600152', ':', '维科', '技术', '关于', '召开', '2022', '年', '第一次', '临时', '股东大会', '的']",0,263
2022/6/13,121,"['600152', ':', '维科', '技术', '关于', '独立', '董事', '公开', '征集', '委托', '投票权', '的', '公']",2,244
2022/6/13,122,"['600152', ':', '维科', '技术', '2022', '年', '股票', '期权', '激励', '计划', '(', '草案', ')', '摘要', '公']",0,418
2022/6/13,123,"['600152', ':', '维科', '技术', '独立', '董事', '关于', '《', '公司', '2022', '年', '股票', '期权', '激']",1,229
2022/6/13,124,"['600152', ':', '维科', '技术', '第十届', '董事会', '第十七次', '会议', '决议', '公告']",0,239
2022/6/13,125,"['600152', ':', '维科', '技术', '2022', '年', '股票', '期权', '激励', '计划', '实施', '考核', '管理']",0,294
2022/6/13,126,"['600152', ':', '维科', '技术', '监事会', '关于', '公司', '2022', '年', '股票', '期权', '激励', '计']",0,210
2022/6/13,127,"['600152', ':', '维科', '技术', '2022', '年', '股票', '期权', '激励', '计划', '管理', '办法']",0,244
2022/6/13,128,"['600152', ':', '维科', '技术', '2022', '年', '股票', '期权', '激励', '计划', '(', '草案', ')']",0,326
2022/6/13,129,"['600152', ':', '维科', '技术', '2022', '年', '股票', '期权', '激励', '计划', '首次', '授予', '激励']",0,481
2022/6/13,130,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '为什么', '啊', '，', '冲上去', '立马', '有', '大量', '的', '单']",1,555
2022/6/13,131,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '我', '已', '卖出', '，', '等待', '接货']",0,396
2022/6/13,132,"['维科', '技术', '6', '月', '13', '日', '快速', '上涨']",6,217
2022/6/13,133,"['$', '维科', '技术', '(', 'SH600152', ')', '$', '反正', '锂电池', '怎么', '涨', '和', '你', '都', '没关系', '，']",0,316
