time,all_num_百润股份,all_dic_score,百润股份舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-02-11,50,20.00,0.42,35,35.00,15,-15.00
2022-02-12,8,6.00,0.82,7,7.00,1,-1.00
2022-02-13,7,1.00,0.22,4,4.00,3,-3.00
2022-02-14,33,9.00,0.39,21,21.00,12,-12.00
2022-02-15,41,15.00,0.48,28,28.00,13,-13.00
2022-02-16,43,27.00,0.74,35,35.00,8,-8.00
2022-02-17,19,5.00,0.29,12,12.00,7,-7.00
2022-02-18,38,14.00,0.50,26,26.00,12,-12.00
2022-02-19,4,2.00,0.58,3,3.00,1,-1.00
2022-02-20,4,4.00,1.00,4,4.00,0,0.00
2022-02-21,20,6.00,0.38,13,13.00,7,-7.00
2022-02-22,28,12.00,0.56,20,20.00,8,-8.00
2022-02-23,23,9.00,0.41,16,16.00,7,-7.00
2022-02-24,39,27.00,0.75,33,33.00,6,-6.00
2022-02-25,29,23.00,0.82,26,26.00,3,-3.00
2022-02-26,10,6.00,0.70,8,8.00,2,-2.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-02-28,28,22.00,0.82,25,25.00,3,-3.00
2022-03-01,55,21.00,0.54,38,38.00,17,-17.00
2022-03-02,42,26.00,0.62,34,34.00,8,-8.00
2022-03-03,50,24.00,0.56,37,37.00,13,-13.00
2022-03-04,139,59.00,0.52,99,99.00,40,-40.00
2022-03-05,11,9.00,0.83,10,10.00,1,-1.00
2022-03-06,7,5.00,0.83,6,6.00,1,-1.00
2022-03-07,98,14.00,0.29,56,56.00,42,-42.00
2022-03-08,72,12.00,0.26,42,42.00,30,-30.00
2022-03-09,97,35.00,0.40,66,66.00,31,-31.00
2022-03-10,31,17.00,0.57,24,24.00,7,-7.00
2022-03-11,36,12.00,0.27,24,24.00,12,-12.00
2022-03-12,6,4.00,0.66,5,5.00,1,-1.00
2022-03-13,4,4.00,1.00,4,4.00,0,0.00
2022-03-14,28,2.00,0.31,15,15.00,13,-13.00
