time,all_num_重庆啤酒,all_dic_score,重庆啤酒舆情因子值,positive_num,positive_sentiment,negative_num,negative_sentiment
2022-02-15,12,2.00,0.20,7,7.00,5,-5.00
2022-02-16,16,16.00,1.00,16,16.00,0,0.00
2022-02-17,14,4.00,0.59,9,9.00,5,-5.00
2022-02-18,6,2.00,0.39,4,4.00,2,-2.00
2022-02-19,5,5.00,1.00,5,5.00,0,0.00
2022-02-20,3,1.00,0.51,2,2.00,1,-1.00
2022-02-21,2,2.00,1.00,2,2.00,0,0.00
2022-02-22,9,3.00,0.47,6,6.00,3,-3.00
2022-02-23,10,10.00,1.00,10,10.00,0,0.00
2022-02-24,20,10.00,0.59,15,15.00,5,-5.00
2022-02-25,15,11.00,0.61,13,13.00,2,-2.00
2022-02-26,2,2.00,1.00,2,2.00,0,0.00
2022-02-27,2,2.00,1.00,2,2.00,0,0.00
2022-02-28,9,3.00,0.50,6,6.00,3,-3.00
2022-03-01,21,11.00,0.58,16,16.00,5,-5.00
2022-03-02,22,12.00,0.70,17,17.00,5,-5.00
2022-03-03,26,16.00,0.60,21,21.00,5,-5.00
2022-03-04,18,2.00,0.32,10,10.00,8,-8.00
2022-03-05,2,2.00,1.00,2,2.00,0,0.00
2022-03-06,2,2.00,1.00,2,2.00,0,0.00
2022-03-07,51,3.00,0.16,27,27.00,24,-24.00
2022-03-08,71,23.00,0.36,47,47.00,24,-24.00
2022-03-09,23,3.00,0.40,13,13.00,10,-10.00
2022-03-10,13,3.00,0.26,8,8.00,5,-5.00
2022-03-11,9,7.00,0.78,8,8.00,1,-1.00
2022-03-12,4,4.00,1.00,4,4.00,0,0.00
2022-03-13,4,2.00,0.30,3,3.00,1,-1.00
2022-03-14,24,14.00,0.60,19,19.00,5,-5.00
2022-03-15,29,23.00,0.84,26,26.00,3,-3.00
2022-03-16,42,20.00,0.56,31,31.00,11,-11.00
2022-03-17,42,14.00,0.69,28,28.00,14,-14.00
2022-03-18,18,8.00,0.18,13,13.00,5,-5.00
2022-03-19,5,3.00,0.22,4,4.00,1,-1.00
2022-03-20,3,3.00,1.00,3,3.00,0,0.00
